dataset,plate,well,reaction_vol_mL,PET_loading_mg,solids_loading_wtpercent,enzyme_loading_ug,mg_enzyme_per_g_PET,nM_enzyme,substrate,temperature_c,pH,A260,A280,A300,dilution,mM_product,ug_per_mL_product_avgTPAMHET,mg_TPAeq,percent_depolymerization,mM_product_per_mg_enzyme,mmol_product_per_mg_enzyme,umol_product_per_mg_enzyme,mg_TPAeq_per_mg_enzyme,nmol_product_per_nM_enzyme,source_well,sample_id
P740 Round1,plate1,1A-A1,0.5,3.5,0.7,5,1.43,0.0,cryPow,40,5.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blank,blank
P740 Round1,plate1,1A-A10,0.5,3.5,0.7,5,1.43,0.0,cryPow,40,8.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blank,blank
P740 Round1,plate1,1A-A11,0.5,3.5,0.7,5,1.43,362.0,cryPow,40,8.5,5.68,1.56,0.23,,1.02,191.86,0.08,2.8,203.98,0.10200000000000001,102.00000000000001,16.94,1.41,LCC-ICCG,LCC-ICCG
P740 Round1,plate1,1A-A12,0.5,3.5,0.7,5,1.43,246.0,cryPow,40,8.5,1.65,0.44,0.08,,0.3,55.96,0.02,0.82,59.49,0.029999999999999995,29.999999999999996,4.94,0.61,A7,DP059
P740 Round1,plate1,1A-A2,0.5,3.5,0.7,5,1.43,362.0,cryPow,40,5.5,1.92,0.53,0.08,,0.35,65.14,0.03,0.95,69.25,0.034999999999999996,34.99999999999999,5.75,0.48,LCC-ICCG,LCC-ICCG
P740 Round1,plate1,1A-A3,0.5,3.5,0.7,5,1.43,246.0,cryPow,40,5.5,0.3,0.0,0.0,,0.05,10.16,0.0,0.15,10.8,0.005,5.0,0.9,0.1,A7,DP059
P740 Round1,plate1,1A-A4,0.5,3.5,0.7,5,1.43,0.0,cryPow,40,6.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blank,blank
P740 Round1,plate1,1A-A5,0.5,3.5,0.7,5,1.43,362.0,cryPow,40,6.5,3.88,1.06,0.15,,0.69,129.91,0.06,1.9,138.12,0.06899999999999999,68.99999999999999,11.47,0.95,LCC-ICCG,LCC-ICCG
P740 Round1,plate1,1A-A6,0.5,3.5,0.7,5,1.43,246.0,cryPow,40,6.5,1.03,0.28,0.06,,0.19,34.92,0.02,0.51,37.13,0.019,19.0,3.08,0.39,A7,DP059
P740 Round1,plate1,1A-A7,0.5,3.5,0.7,5,1.43,0.0,cryPow,40,7.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blank,blank
P740 Round1,plate1,1A-A8,0.5,3.5,0.7,5,1.43,362.0,cryPow,40,7.5,5.62,1.55,0.23,,1.01,190.26,0.08,2.78,202.28,0.101,101.0,16.8,1.4,LCC-ICCG,LCC-ICCG
P740 Round1,plate1,1A-A9,0.5,3.5,0.7,5,1.43,246.0,cryPow,40,7.5,1.82,0.48,0.1,,0.33,61.62,0.03,0.9,65.51,0.033,33.0,5.44,0.67,A7,DP059
P740 Round1,plate1,1A-B1,0.5,3.5,0.7,5,1.43,233.0,cryPow,40,5.5,0.35,0.0,0.0,,0.06,11.79,0.01,0.17,12.53,0.006,6.0,1.04,0.13,B11,DP092
P740 Round1,plate1,1A-B10,0.5,3.5,0.7,5,1.43,233.0,cryPow,40,8.5,0.93,0.26,0.05,,0.17,31.4,0.01,0.46,33.38,0.017,17.0,2.77,0.36,B11,DP092
P740 Round1,plate1,1A-B11,0.5,3.5,0.7,5,1.43,358.0,cryPow,40,8.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C6,DP053
P740 Round1,plate1,1A-B12,0.5,3.5,0.7,5,1.43,233.0,cryPow,40,8.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C7,DP061
P740 Round1,plate1,1A-B2,0.5,3.5,0.7,5,1.43,358.0,cryPow,40,5.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C6,DP053
P740 Round1,plate1,1A-B3,0.5,3.5,0.7,5,1.43,233.0,cryPow,40,5.5,0.66,0.0,0.04,,0.12,22.19,0.01,0.32,23.59,0.012,12.0,1.96,0.26,C7,DP061
P740 Round1,plate1,1A-B4,0.5,3.5,0.7,5,1.43,233.0,cryPow,40,6.5,0.6,0.0,0.03,,0.11,20.29,0.01,0.3,21.57,0.011,11.0,1.79,0.24,B11,DP092
P740 Round1,plate1,1A-B5,0.5,3.5,0.7,5,1.43,358.0,cryPow,40,6.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C6,DP053
P740 Round1,plate1,1A-B6,0.5,3.5,0.7,5,1.43,233.0,cryPow,40,6.5,1.03,0.28,0.05,,0.19,34.92,0.02,0.51,37.13,0.019,19.0,3.08,0.41,C7,DP061
P740 Round1,plate1,1A-B7,0.5,3.5,0.7,5,1.43,233.0,cryPow,40,7.5,0.81,0.22,0.04,,0.15,27.51,0.01,0.4,29.24,0.014999999999999998,14.999999999999998,2.43,0.32,B11,DP092
P740 Round1,plate1,1A-B8,0.5,3.5,0.7,5,1.43,358.0,cryPow,40,7.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C6,DP053
P740 Round1,plate1,1A-B9,0.5,3.5,0.7,5,1.43,233.0,cryPow,40,7.5,0.21,0.0,0.0,,0.04,7.08,0.0,0.1,7.53,0.004,4.0,0.63,0.09,C7,DP061
P740 Round1,plate1,1A-C1,0.5,3.5,0.7,5,1.43,364.0,cryPow,40,5.5,0.21,0.0,0.0,,0.04,7.21,0.0,0.11,7.67,0.004,4.0,0.64,0.05,C11,DP093
P740 Round1,plate1,1A-C10,0.5,3.5,0.7,5,1.43,364.0,cryPow,40,8.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C11,DP093
P740 Round1,plate1,1A-C11,0.5,3.5,0.7,5,1.43,366.0,cryPow,40,8.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D2,DP022
P740 Round1,plate1,1A-C12,0.5,3.5,0.7,5,1.43,353.0,cryPow,40,8.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D12,DP003
P740 Round1,plate1,1A-C2,0.5,3.5,0.7,5,1.43,366.0,cryPow,40,5.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D2,DP022
P740 Round1,plate1,1A-C3,0.5,3.5,0.7,5,1.43,353.0,cryPow,40,5.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D12,DP003
P740 Round1,plate1,1A-C4,0.5,3.5,0.7,5,1.43,364.0,cryPow,40,6.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C11,DP093
P740 Round1,plate1,1A-C5,0.5,3.5,0.7,5,1.43,366.0,cryPow,40,6.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D2,DP022
P740 Round1,plate1,1A-C6,0.5,3.5,0.7,5,1.43,353.0,cryPow,40,6.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D12,DP003
P740 Round1,plate1,1A-C7,0.5,3.5,0.7,5,1.43,364.0,cryPow,40,7.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C11,DP093
P740 Round1,plate1,1A-C8,0.5,3.5,0.7,5,1.43,366.0,cryPow,40,7.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D2,DP022
P740 Round1,plate1,1A-C9,0.5,3.5,0.7,5,1.43,353.0,cryPow,40,7.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D12,DP003
